run_at,commit,seed,condition,model,vectoriser,train_source,test_source,macro_f1,macro_f1_ci95,accuracy,n_train,n_test
2026-09-21T18:01:35+00:00,unknown,42,within,logistic_regression,word,synthetic_human,synthetic_human,1.0,0.0,1.0,296,74
2026-09-21T18:01:35+00:00,unknown,42,within,logistic_regression,word,synthetic_machine,synthetic_machine,1.0,0.0,1.0,288,72
2026-09-21T18:01:35+00:00,unknown,42,cross,logistic_regression,word,synthetic_human,synthetic_machine,0.4519,0.0,0.5889,371,360
2026-09-21T18:01:35+00:00,unknown,42,cross,logistic_regression,word,synthetic_machine,synthetic_human,0.3363,0.0,0.5067,360,371
2026-09-21T18:01:35+00:00,unknown,42,combined,logistic_regression,word,synthetic_human+synthetic_machine,synthetic_human,1.0,0.0,1.0,511,56
2026-09-21T18:01:35+00:00,unknown,42,combined,logistic_regression,word,synthetic_human+synthetic_machine,synthetic_machine,1.0,0.0,1.0,511,54
2026-09-21T18:01:35+00:00,unknown,42,within,linear_svm,word,synthetic_human,synthetic_human,1.0,0.0,1.0,296,74
2026-09-21T18:01:35+00:00,unknown,42,within,linear_svm,word,synthetic_machine,synthetic_machine,1.0,0.0,1.0,288,72
2026-09-21T18:01:35+00:00,unknown,42,cross,linear_svm,word,synthetic_human,synthetic_machine,0.4403,0.0,0.5833,371,360
2026-09-21T18:01:35+00:00,unknown,42,cross,linear_svm,word,synthetic_machine,synthetic_human,0.3363,0.0,0.5067,360,371
2026-09-21T18:01:35+00:00,unknown,42,combined,linear_svm,word,synthetic_human+synthetic_machine,synthetic_human,1.0,0.0,1.0,511,56
2026-09-21T18:01:35+00:00,unknown,42,combined,linear_svm,word,synthetic_human+synthetic_machine,synthetic_machine,1.0,0.0,1.0,511,54
2026-09-21T18:01:35+00:00,unknown,42,within,random_forest,word,synthetic_human,synthetic_human,1.0,0.0,1.0,296,74
2026-09-21T18:01:35+00:00,unknown,42,within,random_forest,word,synthetic_machine,synthetic_machine,1.0,0.0,1.0,288,72
2026-09-21T18:01:35+00:00,unknown,42,cross,random_forest,word,synthetic_human,synthetic_machine,0.3525,0.0,0.5444,371,360
2026-09-21T18:01:35+00:00,unknown,42,cross,random_forest,word,synthetic_machine,synthetic_human,0.3363,0.0,0.5067,360,371
2026-09-21T18:01:35+00:00,unknown,42,combined,random_forest,word,synthetic_human+synthetic_machine,synthetic_human,1.0,0.0,1.0,511,56
2026-09-21T18:01:35+00:00,unknown,42,combined,random_forest,word,synthetic_human+synthetic_machine,synthetic_machine,1.0,0.0,1.0,511,54
2026-09-21T18:01:35+00:00,unknown,42,within,logistic_regression,char,synthetic_human,synthetic_human,1.0,0.0,1.0,296,74
2026-09-21T18:01:35+00:00,unknown,42,within,logistic_regression,char,synthetic_machine,synthetic_machine,1.0,0.0,1.0,288,72
2026-09-21T18:01:35+00:00,unknown,42,cross,logistic_regression,char,synthetic_human,synthetic_machine,0.6381,0.0,0.6944,371,360
2026-09-21T18:01:35+00:00,unknown,42,cross,logistic_regression,char,synthetic_machine,synthetic_human,0.3363,0.0,0.5067,360,371
2026-09-21T18:01:35+00:00,unknown,42,combined,logistic_regression,char,synthetic_human+synthetic_machine,synthetic_human,1.0,0.0,1.0,511,56
2026-09-21T18:01:35+00:00,unknown,42,combined,logistic_regression,char,synthetic_human+synthetic_machine,synthetic_machine,1.0,0.0,1.0,511,54
2026-09-21T18:01:35+00:00,unknown,42,within,linear_svm,char,synthetic_human,synthetic_human,1.0,0.0,1.0,296,74
2026-09-21T18:01:35+00:00,unknown,42,within,linear_svm,char,synthetic_machine,synthetic_machine,1.0,0.0,1.0,288,72
2026-09-21T18:01:35+00:00,unknown,42,cross,linear_svm,char,synthetic_human,synthetic_machine,0.6381,0.0,0.6944,371,360
2026-09-21T18:01:35+00:00,unknown,42,cross,linear_svm,char,synthetic_machine,synthetic_human,0.3363,0.0,0.5067,360,371
2026-09-21T18:01:35+00:00,unknown,42,combined,linear_svm,char,synthetic_human+synthetic_machine,synthetic_human,1.0,0.0,1.0,511,56
2026-09-21T18:01:35+00:00,unknown,42,combined,linear_svm,char,synthetic_human+synthetic_machine,synthetic_machine,1.0,0.0,1.0,511,54
2026-09-21T18:01:35+00:00,unknown,42,within,random_forest,char,synthetic_human,synthetic_human,1.0,0.0,1.0,296,74
2026-09-21T18:01:35+00:00,unknown,42,within,random_forest,char,synthetic_machine,synthetic_machine,1.0,0.0,1.0,288,72
2026-09-21T18:01:35+00:00,unknown,42,cross,random_forest,char,synthetic_human,synthetic_machine,0.5521,0.0,0.6417,371,360
2026-09-21T18:01:35+00:00,unknown,42,cross,random_forest,char,synthetic_machine,synthetic_human,0.3363,0.0,0.5067,360,371
2026-09-21T18:01:35+00:00,unknown,42,combined,random_forest,char,synthetic_human+synthetic_machine,synthetic_human,1.0,0.0,1.0,511,56
2026-09-21T18:01:35+00:00,unknown,42,combined,random_forest,char,synthetic_human+synthetic_machine,synthetic_machine,1.0,0.0,1.0,511,54
